Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
,,,"2346708.0, 2303706.0, 2251169.0, 2302964.0, 2348748.0, 2249172.0, 2312524.0, 2404133.0, 2374650.0, 2293778.0",2318755.2,47584.41911340307,16,0,2,,,,splines,nic-cage
,,,"3877994.0, 3869497.0, 3864820.0, 3875251.0, 3863910.0, 3867179.0, 3867885.0, 3872103.0, 3873533.0, 3865250.0",3869742.2,4548.454700225122,4,0,2,,,,splines,nic-cage
,,,"6166220.0, 6167227.0, 6172498.0, 6168102.0, 6167147.0, 6168795.0, 6168252.0, 6175480.0, 6213748.0, 6212090.0",6177955.9,17683.29729122937,8,0,6,,,,splines,mountain
,,,"8320636.0, 8314315.0, 8374001.0, 8316000.0, 8312085.0, 8332130.0, 8339820.0, 8351292.0, 8441606.0, 8398759.0",8350064.4,40618.90613298197,8,0,8,,,,splines,mountain
,,,"2535988.0, 2535267.0, 2536905.0, 2536133.0, 2536696.0, 2537422.0, 2537114.0, 2540736.0, 2560735.0, 2560638.0",2541763.4,9561.562698638752,8,0,2,,,,splines,nic-cage
,,,"4198859.0, 4212272.0, 4203820.0, 4206231.0, 4206876.0, 4206625.0, 4204844.0, 4211386.0, 4233119.0, 4233963.0",4211799.5,11435.333342321072,8,0,4,,,,splines,nic-cage
,,,"6585948.0, 6587402.0, 6586454.0, 6585798.0, 6586471.0, 6609960.0, 6586314.0, 6599651.0, 6587150.0, 6597788.0",6591293.6,7893.190105400985,12,0,7,,,,splines,mountain
,,,"6787628.0, 6736682.0, 6578067.0, 6883556.0, 6837886.0, 6821728.0, 6572695.0, 6582892.0, 6702029.0, 6581965.0",6708512.8,115994.61161174686,16,0,7,,,,splines,mountain
,,,"9587022.0, 9582535.0, 9582146.0, 9593192.0, 9576280.0, 9575959.0, 9573210.0, 9583959.0, 9581779.0, 9575795.0",9581187.7,5771.094385816265,4,0,7,,,,splines,mountain
,,,"7243219.0, 7249863.0, 7255263.0, 7261191.0, 7232007.0, 7258564.0, 7256885.0, 7246676.0, 7256503.0, 7268320.0",7252849.1,9753.04274008886,8,0,7,,,,splines,mountain
,,,"7631861.0, 7637481.0, 7675986.0, 7640755.0, 7636208.0, 7638389.0, 7639161.0, 7638758.0, 7633843.0, 7664847.0",7643728.9,13797.126798359142,12,0,8,,,,splines,mountain
,,,"7970750.0, 7770573.0, 7678826.0, 7761696.0, 7966218.0, 7836302.0, 7650637.0, 7645970.0, 8063446.0, 8121924.0",7846634.2,165058.78392669687,16,0,8,,,,splines,mountain
,,,"10936403.0, 10996857.0, 10996708.0, 10937788.0, 10997041.0, 11016135.0, 10998993.0, 11016772.0, 11000758.0, 10992529.0",10988998.4,27079.648048673007,4,0,8,,,,splines,mountain
,,,"6181725.0, 6180883.0, 6205780.0, 6165760.0, 6169766.0, 6169138.0, 6166579.0, 6175387.0, 6210030.0, 6248043.0",6187309.1,25085.22163525768,8,0,6,,,,splines,nic-cage
,,,"6559430.0, 6568580.0, 6557929.0, 6559939.0, 6558466.0, 6557359.0, 6558152.0, 6558780.0, 6560984.0, 6600351.0",6563997.0,12497.507631523975,12,0,7,,,,splines,nic-cage
,,,"6805119.0, 6841700.0, 6621485.0, 6556687.0, 6595088.0, 6579156.0, 6590629.0, 6570327.0, 6617773.0, 6551832.0",6632979.6,97988.11846157674,16,0,7,,,,splines,nic-cage
