Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
,,,"5269069.0, 5266831.0, 5267851.0, 5269971.0, 5258701.0, 5257741.0, 5270273.0, 5251502.0, 5253232.0, 5259279.0",5262445.0,6790.1015750870765,8,0,4,,,,splines,mountain
,,,"3260834.0, 3252748.0, 3260231.0, 3260994.0, 3260761.0, 3256227.0, 3260346.0, 3282003.0, 3264111.0, 3270409.0",3262866.4,7723.211407180305,8,0,2,,,,splines,nic-cage
,,,"5244513.0, 5238827.0, 5244535.0, 5240748.0, 5241825.0, 5242559.0, 5242688.0, 5243995.0, 5229123.0, 5231410.0",5240022.3,5177.11848521936,8,0,4,,,,splines,nic-cage
,,,"3312304.0, 3311077.0, 3308469.0, 3311693.0, 3308385.0, 3312597.0, 3310389.0, 3329682.0, 3318915.0, 3320604.0",3314411.5,6370.811192462072,8,0,2,,,,splines,pattern1
,,,"5267875.0, 5266166.0, 5268964.0, 5266911.0, 5267280.0, 5267108.0, 5266281.0, 5242087.0, 5249905.0, 5251721.0",5261429.8,9176.091638600827,8,0,4,,,,splines,pattern1
,,,"3281441.0, 3279544.0, 3280941.0, 3283799.0, 3281360.0, 3282619.0, 3282176.0, 3278808.0, 3262683.0, 3263132.0",3277650.3,7494.4240078874645,8,0,2,,,,splines,pattern2
,,,"3675440.0, 3676141.0, 3680174.0, 3676625.0, 3675356.0, 3675933.0, 3677763.0, 3675534.0, 3675609.0, 3677424.0",3676599.9,1430.8315379526691,12,0,3,,,,splines,mountain
,,,"3539284.0, 3607142.0, 3563784.0, 3549396.0, 3538569.0, 3538734.0, 3539562.0, 3541048.0, 3544033.0, 3553470.0",3551502.2,20105.1359050368,16,0,3,,,,splines,mountain
,,,"6196821.0, 6241534.0, 6239333.0, 6198133.0, 6240478.0, 6242962.0, 6242007.0, 6244115.0, 6242102.0, 6244248.0",6233173.3,17906.586933583967,4,0,3,,,,splines,mountain
,,,"4285139.0, 4282357.0, 4284658.0, 4283948.0, 4282601.0, 4283200.0, 4268453.0, 4276340.0, 4295190.0, 4286204.0",4282809.0,6506.176711402788,8,0,3,,,,splines,mountain
,,,"4643178.0, 4646789.0, 4643940.0, 4645096.0, 4643609.0, 4644103.0, 4642928.0, 4651752.0, 4641195.0, 4660270.0",4646286.0,5398.038199197927,12,0,4,,,,splines,mountain
,,,"4445790.0, 4533074.0, 4449597.0, 4445227.0, 4445734.0, 4446734.0, 4445480.0, 4456403.0, 4444863.0, 4448364.0",4456126.6,25857.232691067307,16,0,4,,,,splines,mountain
,,,"7852347.0, 7825168.0, 7830965.0, 7844449.0, 7826045.0, 7831701.0, 7825519.0, 7833164.0, 7830369.0, 7846329.0",7834605.6,9141.794300901765,4,0,4,,,,splines,mountain
,,,"3688475.0, 3687835.0, 3689266.0, 3687655.0, 3687869.0, 3687796.0, 3690112.0, 3688256.0, 3688023.0, 3691981.0",3688726.8,1308.663272198009,12,0,3,,,,splines,nic-cage
,,,"3520850.0, 3555600.0, 3521852.0, 3521304.0, 3524470.0, 3521753.0, 3520493.0, 3526760.0, 3514519.0, 3521032.0",3524863.3,10662.067783033459,16,0,3,,,,splines,nic-cage
,,,"6570398.0, 6561436.0, 6561844.0, 6570201.0, 6566687.0, 6555866.0, 6554247.0, 6561634.0, 6560236.0, 6564996.0",6562754.5,5141.567236747955,4,0,3,,,,splines,nic-cage
,,,"4298678.0, 4294795.0, 4295573.0, 4297973.0, 4295468.0, 4297236.0, 4296565.0, 4295088.0, 4296794.0, 4302238.0",4297040.8,2106.439878088145,8,0,3,,,,splines,nic-cage
,,,"4903704.0, 4905780.0, 4908215.0, 4907799.0, 4907157.0, 4907618.0, 4908253.0, 4912423.0, 4906660.0, 4910113.0",4907772.2,2229.2508517436977,12,0,4,,,,splines,nic-cage
,,,"4438564.0, 4538654.0, 4407929.0, 4395813.0, 4396179.0, 4396558.0, 4395135.0, 4434972.0, 4433700.0, 4446025.0",4428352.9,41570.17136950484,16,0,4,,,,splines,nic-cage
,,,"7601782.0, 7646319.0, 7596357.0, 7604775.0, 7606202.0, 7595092.0, 7594943.0, 7595289.0, 7595671.0, 7596985.0",7603341.5,14870.07612791542,4,0,4,,,,splines,nic-cage
,,,"3688919.0, 3685906.0, 3686754.0, 3686622.0, 3686982.0, 3690490.0, 3687805.0, 3687349.0, 3687946.0, 3689705.0",3687847.8,1380.483234233578,12,0,3,,,,splines,pattern1
,,,"3513954.0, 3546008.0, 3516454.0, 3513767.0, 3513904.0, 3513204.0, 3512019.0, 3513420.0, 3526766.0, 3517946.0",3518744.2,9944.65441129052,16,0,3,,,,splines,pattern1
,,,"6579507.0, 6608364.0, 6638507.0, 6612820.0, 6585706.0, 6595307.0, 6576892.0, 6575691.0, 6594204.0, 6596886.0",6596388.4,18442.247396670504,4,0,3,,,,splines,pattern1
,,,"4195875.0, 4188608.0, 4197318.0, 4190726.0, 4192559.0, 4198671.0, 4190173.0, 4190686.0, 4194412.0, 4186978.0",4192600.6,3656.990024596731,8,0,3,,,,splines,pattern1
,,,"4662555.0, 4661880.0, 4662144.0, 4658813.0, 4659877.0, 4660378.0, 4661596.0, 4663081.0, 4671572.0, 4673338.0",4663523.4,4646.890061105384,12,0,4,,,,splines,pattern1
,,,"4422661.0, 4512043.0, 4422734.0, 4423486.0, 4422257.0, 4422543.0, 4422665.0, 4425343.0, 4420657.0, 4433262.0",4432765.1,26632.06151783973,16,0,4,,,,splines,pattern1
,,,"7800146.0, 7737229.0, 7734202.0, 7794912.0, 7734657.0, 7734833.0, 7741976.0, 7742928.0, 7748632.0, 7737097.0",7750661.2,23849.97815848056,4,0,4,,,,splines,pattern1
,,,"3675683.0, 3660010.0, 3674898.0, 3676200.0, 3674705.0, 3674377.0, 3674892.0, 3680865.0, 3674798.0, 3674265.0",3674069.3,5034.094159826572,12,0,3,,,,splines,pattern2
,,,"3535585.0, 3581643.0, 3537838.0, 3541239.0, 3534337.0, 3535089.0, 3534821.0, 3539035.0, 3533848.0, 3537218.0",3541065.3,13704.086186608722,16,0,3,,,,splines,pattern2
,,,"6168590.0, 6162815.0, 6163762.0, 6174350.0, 6161944.0, 6165030.0, 6159805.0, 6162959.0, 6161352.0, 6164798.0",6164540.5,3979.302910058494,4,0,3,,,,splines,pattern2
,,,"4278193.0, 4283886.0, 4279497.0, 4279162.0, 4277475.0, 4283371.0, 4278791.0, 4280902.0, 4277563.0, 4278292.0",4279713.2,2176.459041654586,8,0,3,,,,splines,pattern2
,,,"4890070.0, 4891667.0, 4889868.0, 4889615.0, 4890628.0, 4890553.0, 4890134.0, 4895586.0, 4891455.0, 4913510.0",4893308.6,6929.933393619306,12,0,4,,,,splines,pattern2
,,,"4466578.0, 4546093.0, 4465314.0, 4467829.0, 4465270.0, 4466677.0, 4465948.0, 4466060.0, 4473664.0, 4469237.0",4475267.0,23728.62886472794,16,0,4,,,,splines,pattern2
,,,"7604065.0, 7589238.0, 7592692.0, 7604518.0, 7604375.0, 7592329.0, 7594087.0, 7593254.0, 7595797.0, 7592637.0",7596299.2,5473.031880046014,4,0,4,,,,splines,pattern2
,,,"5269562.0, 5266609.0, 5270447.0, 5267460.0, 5281485.0, 5251330.0, 5258462.0, 5241958.0, 5255562.0, 5253435.0",5261631.0,10957.868980782714,8,0,4,,,,splines,pattern2
"189314.0, 189971.0, 189342.0, 189281.0, 189604.0, 189323.0, 189979.0, 189241.0, 189614.0, 189329.0",189499.8,266.50808618126393,,,,-1,0,1,,,,bilineal,mountain
"435415.0, 434884.0, 435341.0, 434827.0, 435568.0, 434847.0, 435068.0, 434742.0, 435218.0, 434293.0",435020.3,359.49465920928503,,,,-1,0,2,,,,bilineal,mountain
