Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
,,,"61101.0, 74163.0, 57089.0, 61239.0, 68299.0, 57429.0, 67849.0, 69093.0, 53863.0, 68299.0",63842.4,6248.84386427,8,164.840747259,1,,,,splines,paisaje_2
,,,"48947.0, 52145.0, 59984.0, 65514.0, 108247.0, 97388.0, 87260.0, 76608.0, 64399.0, 104046.0",76453.8,20520.6458855,8,6.59437441309,1,,,,splines,rostro_2
,,,"27641.0, 33316.0, 23131.0, 30567.0, 35147.0, 25002.0, 23611.0, 26663.0, 36170.0, 28583.0",28983.1,4441.03392128,8,111.416297162,4,,,,splines,paisaje_1
,,,"23137.0, 26452.0, 54646.0, 41750.0, 51110.0, 41467.0, 45602.0, 28863.0, 28908.0, 38556.0",38049.1,10264.1791825,8,2520.90190981,3,,,,splines,geometrica_2
,,,"14268.0, 16240.0, 15139.0, 15355.0, 20117.0, 20704.0, 17478.0, 19860.0, 16565.0, 16177.0",17190.3,2157.74354593,4,225.901026735,7,,,,splines,paisaje_1
,,,"149868.0, 99557.0, 80258.0, 73598.0, 76346.0, 71250.0, 87232.0, 74356.0, 92175.0, 86163.0",89080.3,22001.8893055,4,4.96384350844,1,,,,splines,rostro_1
,,,"59918.0, 61159.0, 64894.0, 60294.0, 67286.0, 65388.0, 71948.0, 93008.0, 67602.0, 74344.0",68584.1,9308.38222733,101,309.394363219,3,,,,splines,paisaje_2
,,,"50667.0, 51097.0, 53679.0, 79885.0, 59073.0, 58677.0, 54419.0, 102621.0, 187071.0, 132611.0",82980.0,43116.8595633,81,3265.05635537,4,,,,splines,geometrica_2
,,,"83574.0, 77705.0, 61775.0, 65694.0, 62456.0, 84725.0, 66965.0, 65104.0, 87881.0, 83711.0",73959.0,9938.39643001,101,15.9122580083,3,,,,splines,rostro_1
,,,"10741.0, 21297.0, 17772.0, 32109.0, 16710.0, 12879.0, 19974.0, 13630.0, 15707.0, 11883.0",17270.2,5923.77354057,8,6805.41226734,9,,,,splines,geometrica_1
,,,"33836.0, 42940.0, 55251.0, 39435.0, 34366.0, 35133.0, 37130.0, 30592.0, 34862.0, 33785.0",37733.0,6673.53062479,51,40.2260247138,7,,,,splines,rostro_1
,,,"35791.0, 44706.0, 35460.0, 36220.0, 42984.0, 42502.0, 43309.0, 35358.0, 45832.0, 44513.0",40667.5,4151.47988674,4,16.2161429344,3,,,,splines,rostro_1
,,,"29474.0, 30151.0, 26171.0, 31822.0, 37398.0, 23253.0, 24921.0, 24733.0, 26835.0, 36994.0",29175.2,4734.98316364,4,3348.83662415,4,,,,splines,geometrica_2
,,,"62060.0, 56488.0, 88683.0, 127698.0, 122454.0, 78580.0, 104363.0, 65099.0, 69657.0, 107067.0",88214.9,24515.0154821,81,1326.05943993,4,,,,splines,geometrica_1
,,,"73021.0, 78067.0, 73986.0, 84283.0, 74379.0, 104101.0, 101834.0, 171783.0, 103550.0, 123921.0",98892.5,29214.1111118,4,7.1986368244,1,,,,splines,rostro_2
,,,"89986.0, 105111.0, 117150.0, 150738.0, 117131.0, 113932.0, 102808.0, 103884.0, 91522.0, 97059.0",108932.1,16697.6454235,4,20.1620387933,1,,,,splines,paisaje_1
,,,"14280.0, 21354.0, 12494.0, 13019.0, 12834.0, 14552.0, 13236.0, 17391.0, 16336.0, 16824.0",15232.0,2634.2092172,8,4615.83801718,7,,,,splines,geometrica_1
,,,"40929.0, 23034.0, 21802.0, 26874.0, 30836.0, 24441.0, 21614.0, 25385.0, 42625.0, 37196.0",29473.6,7593.24664686,8,80.8084713404,3,,,,splines,paisaje_1
,,,"32193.0, 46561.0, 30135.0, 30143.0, 41274.0, 32243.0, 29744.0, 33080.0, 33999.0, 49190.0",35856.2,6797.77920795,4,301.50773938,3,,,,splines,paisaje_2
,,,"15554.0, 16633.0, 14471.0, 15719.0, 15044.0, 16471.0, 20379.0, 63110.0, 24389.0, 19471.0",22124.1,13964.4444175,4,61.7653434991,9,,,,splines,rostro_1
,,,"84457.0, 46236.0, 34818.0, 57908.0, 30789.0, 31776.0, 30493.0, 30171.0, 33457.0, 35879.0",41598.4,16542.5989022,51,699.30589362,7,,,,splines,paisaje_2
,,,"391810.0, 406315.0, 444307.0, 435828.0, 412389.0, 406303.0, 408381.0, 464310.0, 423310.0, 583236.0",437618.9,52649.7055765,201,18.859845399,1,,,,splines,paisaje_1
,,,"62250.0, 63290.0, 63306.0, 72463.0, 65251.0, 78826.0, 66020.0, 71849.0, 85885.0, 105146.0",73428.6,12828.4630584,101,2448.50834261,3,,,,splines,geometrica_2
,,,"52850.0, 60180.0, 54739.0, 55319.0, 55595.0, 62567.0, 75853.0, 51298.0, 57667.0, 71332.0",59740.0,7661.34336784,81,57.5968806164,4,,,,splines,rostro_2
,,,"31254.0, 29294.0, 28414.0, 29536.0, 32518.0, 32900.0, 45369.0, 31467.0, 28558.0, 32652.0",32196.2,4677.49656975,41,7500.17971281,9,,,,splines,geometrica_2
,,,"34337.0, 102731.0, 39058.0, 71036.0, 52370.0, 51202.0, 50446.0, 59852.0, 38009.0, 57963.0",55700.4,18906.8743117,41,343.202218892,9,,,,splines,paisaje_1
,,,"425009.0, 429296.0, 411081.0, 532148.0, 424233.0, 525169.0, 399961.0, 444233.0, 447479.0, 637682.0",467629.1,70915.9373617,201,4.72907506794,1,,,,splines,rostro_1
,,,"15318.0, 16088.0, 18094.0, 13556.0, 34775.0, 13349.0, 17315.0, 40419.0, 32880.0, 29973.0",23176.7,9661.80600147,4,6521.92365097,9,,,,splines,geometrica_1
,,,"20149.0, 49789.0, 18317.0, 24690.0, 20568.0, 44867.0, 22884.0, 18266.0, 30849.0, 25373.0",27575.2,10559.2765642,8,1441.50004664,4,,,,splines,geometrica_1
,,,"23486.0, 21437.0, 28343.0, 22369.0, 24343.0, 28779.0, 32893.0, 23270.0, 36875.0, 29337.0",27113.2,4777.64445726,8,39.0364923104,3,,,,splines,rostro_2
,,,"13669.0, 13617.0, 12540.0, 12782.0, 21384.0, 20339.0, 16528.0, 19980.0, 20156.0, 23818.0",17481.3,3922.03898629,8,242.503448362,7,,,,splines,paisaje_1
,,,"25782.0, 36632.0, 15138.0, 15426.0, 15071.0, 20174.0, 27689.0, 19838.0, 25908.0, 44629.0",24628.7,9302.31808798,4,128.80112064,7,,,,splines,rostro_2
,,,"419762.0, 470844.0, 402653.0, 470892.0, 419115.0, 423245.0, 476719.0, 404303.0, 511637.0, 702235.0",470140.5,84772.6811328,201,83.2173618323,1,,,,splines,geometrica_1
,,,"32546.0, 30689.0, 31801.0, 39638.0, 46913.0, 34926.0, 38676.0, 33156.0, 42396.0, 39624.0",37036.5,4997.98667965,4,22.4169314867,4,,,,splines,rostro_1
,,,"61140.0, 39330.0, 138932.0, 47680.0, 94116.0, 70167.0, 81844.0, 58629.0, 64490.0, 30558.0",68688.6,29477.0666967,51,4566.24881064,7,,,,splines,geometrica_1
,,,"27865.0, 25462.0, 24742.0, 24965.0, 25915.0, 29162.0, 26534.0, 28408.0, 34615.0, 56533.0",30420.1,9130.2794092,4,122.925106187,4,,,,splines,paisaje_1
,,,"31792.0, 21028.0, 16878.0, 19574.0, 12137.0, 28711.0, 15295.0, 17938.0, 13275.0, 12904.0",18953.2,6314.70114574,8,7425.04584549,9,,,,splines,geometrica_2
,,,"26406.0, 22849.0, 24939.0, 35680.0, 24572.0, 28001.0, 34011.0, 24952.0, 21447.0, 27463.0",27032.0,4341.18999815,8,787.36626016,3,,,,splines,geometrica_1
,,,"30069.0, 30272.0, 31034.0, 30324.0, 34352.0, 33806.0, 30599.0, 39616.0, 33632.0, 31606.0",32531.0,2814.52880603,51,6698.33563224,7,,,,splines,geometrica_2
,,,"473645.0, 416852.0, 459500.0, 397198.0, 475925.0, 484930.0, 416799.0, 538514.0, 482485.0, 586152.0",473200.0,54383.5127442,201,6.17775386969,1,,,,splines,rostro_2
,,,"31547.0, 27823.0, 32504.0, 34363.0, 29358.0, 33218.0, 40824.0, 38527.0, 38398.0, 94135.0",40069.7,18446.9801434,41,6595.01651731,9,,,,splines,geometrica_1
,,,"76011.0, 74963.0, 75658.0, 70942.0, 72132.0, 78126.0, 70635.0, 103150.0, 112352.0, 179688.0",91365.7,32440.383361,4,101.232268456,1,,,,splines,geometrica_1
,,,"19604.0, 33028.0, 16370.0, 12961.0, 14090.0, 13176.0, 27525.0, 23237.0, 20873.0, 43531.0",22439.5,9360.38128764,8,6494.88115746,7,,,,splines,geometrica_2
,,,"15973.0, 20364.0, 14155.0, 14383.0, 15747.0, 15890.0, 17426.0, 17185.0, 16252.0, 19698.0",16707.3,1931.67606239,4,683.424481191,7,,,,splines,paisaje_2
